
bin_id,city,area,latitude,longitude,capacity_kg,current_fill_kg,avg_daily_increase_kg,days_to_full,priority
SB1,Sargodha,Industrial,32.066529,72.685498,50,29.9,11.6,1.7,High
SB2,Sargodha,Suburb,32.068723,72.66019,169,44.9,15.4,8.0,Low
SB3,Sargodha,Residential,32.081973,72.677866,131,58.7,12.4,5.8,Low
SB4,Sargodha,Suburb,32.064659,72.674254,119,57.3,13.3,4.6,Medium
SB5,Sargodha,Industrial,32.091426,72.669518,83,60.6,17.3,1.3,High
SB6,Sargodha,Downtown,32.072578,72.667419,78,23.4,9.9,5.5,Low
SB7,Sargodha,Residential,32.09753,72.66702,83,17.9,9.7,6.7,Low
SB8,Sargodha,Suburb,32.082458,72.662669,149,51.0,14.8,6.6,Low
SB9,Sargodha,Downtown,32.08715,72.66324,146,75.7,8.1,8.7,Low
SB10,Sargodha,Downtown,32.066251,72.685542,52,23.6,15.6,1.8,High
SB11,Sargodha,Downtown,32.081993,72.684234,141,94.1,10.1,4.6,Medium
SB12,Sargodha,Downtown,32.096745,72.672764,59,14.3,8.6,5.2,Low
SB13,Sargodha,Downtown,32.07648,72.652749,162,106.2,15.9,3.5,Medium
SB14,Sargodha,Downtown,32.100421,72.660179,85,26.0,6.5,9.1,Low
SB15,Sargodha,Industrial,32.093786,72.656549,198,171.6,15.2,1.7,High
SB16,Sargodha,Suburb,32.078166,72.672944,82,69.6,17.6,0.7,High
SB17,Sargodha,Suburb,32.098944,72.683924,58,41.8,14.9,1.1,High
SB18,Sargodha,Downtown,32.095129,72.663236,183,107.4,7.9,9.5,Low
SB19,Sargodha,Industrial,32.073048,72.660015,94,69.2,7.8,3.2,Medium
SB20,Sargodha,Industrial,32.067292,72.671455,198,81.0,9.0,13.0,Low
LB1,Lahore,Downtown,31.518611,74.347419,110,48.4,14.1,4.4,Medium
LB2,Lahore,Residential,31.526007,74.344433,142,33.3,8.1,13.4,Low
LB3,Lahore,Residential,31.51047,74.374609,113,101.3,10.3,1.1,High
LB4,Lahore,Downtown,31.503205,74.341009,137,106.5,20.0,1.5,High
LB5,Lahore,Industrial,31.510814,74.366379,99,43.4,6.0,9.3,Low
LB6,Lahore,Residential,31.530336,74.371381,135,41.9,15.4,6.0,Low
LB7,Lahore,Residential,31.522839,74.375494,79,45.6,14.7,2.3,Medium
LB8,Lahore,Downtown,31.535488,74.34485,158,139.1,10.5,1.8,High
LB9,Lahore,Suburb,31.506786,74.371482,95,83.2,15.5,0.8,High
LB10,Lahore,Residential,31.528944,74.348237,190,154.0,6.4,5.6,Low
LB11,Lahore,Industrial,31.514923,74.370702,68,28.6,9.2,4.3,Medium
LB12,Lahore,Downtown,31.518144,74.364423,53,41.6,13.0,0.9,High
LB13,Lahore,Industrial,31.516717,74.342926,84,61.0,10.1,2.3,Medium
LB14,Lahore,Downtown,31.529206,74.355104,159,36.9,5.8,20.9,Low
LB15,Lahore,Downtown,31.51467,74.37001,175,93.4,12.7,6.4,Low
LB16,Lahore,Downtown,31.53356,74.341662,143,34.8,18.3,5.9,Low
LB17,Lahore,Residential,31.512645,74.350048,115,66.4,6.1,7.9,Low
LB18,Lahore,Suburb,31.540117,74.356041,126,51.1,11.8,6.3,Low
LB19,Lahore,Residential,31.50669,74.34972,192,59.0,8.3,15.9,Low
LB20,Lahore,Suburb,31.509684,74.33921,88,19.5,11.9,5.7,Low
KB1,Karachi,Suburb,24.843732,66.992074,67,40.5,15.4,1.7,High
KB2,Karachi,Residential,24.865308,66.98833,51,23.2,16.7,1.7,High
KB3,Karachi,Industrial,24.849809,67.013691,163,105.4,14.8,3.9,Medium
KB4,Karachi,Residential,24.851722,66.986912,122,90.1,5.4,5.9,Low
KB5,Karachi,Residential,24.842381,66.997791,53,19.7,15.6,2.1,Medium
KB6,Karachi,Downtown,24.843515,67.014656,144,126.7,12.2,1.4,High
KB7,Karachi,Suburb,24.874478,67.005794,128,102.4,7.6,3.4,Medium
KB8,Karachi,Residential,24.856951,67.015365,196,131.9,11.7,5.5,Low
KB9,Karachi,Suburb,24.873895,67.006491,164,45.8,12.6,9.4,Low
KB10,Karachi,Downtown,24.841781,66.983219,178,67.0,18.6,6.0,Low
KB11,Karachi,Residential,24.848178,67.008073,134,95.8,12.2,3.1,Medium
KB12,Karachi,Downtown,24.857961,67.017675,96,64.1,16.8,1.9,High
KB13,Karachi,Downtown,24.870424,66.997829,115,92.4,12.6,1.8,High
KB14,Karachi,Downtown,24.862295,67.01563,138,114.3,13.2,1.8,High
KB15,Karachi,Suburb,24.843617,67.005461,59,13.6,9.1,5.0,Medium
KB16,Karachi,Downtown,24.880007,66.984463,121,73.1,14.8,3.2,Medium
KB17,Karachi,Industrial,24.853559,66.997724,70,36.1,13.0,2.6,Medium
KB18,Karachi,Industrial,24.858694,66.997597,137,96.7,14.4,2.8,Medium
KB19,Karachi,Industrial,24.849365,67.00175,94,73.0,12.3,1.7,High
KB20,Karachi,Downtown,24.875997,67.00612,126,80.2,9.1,5.1,Low
